file_id,split,reason,method,si_sdri_db,stoi_improvement,peak
p232_005,dev,Original structured metallic-noise failure case.,clean_reference,146.30458239472702,0.11801847896276019,0.49185582995414734
p232_005,dev,Original structured metallic-noise failure case.,noisy,0.0,0.0,0.5989031791687012
p232_005,dev,Original structured metallic-noise failure case.,r1_classical_omlsa,2.976937695824759,-0.015274079694252096,0.5817537307739258
p232_005,dev,Original structured metallic-noise failure case.,r3_official_rnnoise,7.209413272727661,0.011555427992354095,0.5481715202331543
p232_005,dev,Original structured metallic-noise failure case.,r4_conservative,4.456300570182407,0.017824714648747353,0.5007032155990601
p232_005,dev,Original structured metallic-noise failure case.,r4_aggressive,6.706725340186785,0.0064780653362045415,0.5286221504211426
p232_020,dev,High-quality input where official RNNoise reduced SI-SDR.,clean_reference,127.78781940668047,0.038179505357770926,0.491330623626709
p232_020,dev,High-quality input where official RNNoise reduced SI-SDR.,noisy,0.0,0.0,0.4822152554988861
p232_020,dev,High-quality input where official RNNoise reduced SI-SDR.,r1_classical_omlsa,-4.320222159436039,-0.02977434933581513,0.48259836435317993
p232_020,dev,High-quality input where official RNNoise reduced SI-SDR.,r3_official_rnnoise,-4.830276876479303,-0.031669937848843865,0.4516770541667938
p232_020,dev,High-quality input where official RNNoise reduced SI-SDR.,r4_conservative,-0.3686841231543756,-0.0036468011391951327,0.4638056755065918
p232_020,dev,High-quality input where official RNNoise reduced SI-SDR.,r4_aggressive,-0.6836506716770963,-0.01417843531133256,0.47877222299575806
p232_019,dev,Low-quality input with a large official RNNoise improvement.,clean_reference,144.19028574859684,0.020503633089907547,0.49655213952064514
p232_019,dev,Low-quality input with a large official RNNoise improvement.,noisy,0.0,0.0,0.5178259611129761
p232_019,dev,Low-quality input with a large official RNNoise improvement.,r1_classical_omlsa,2.9879048169255347,-0.00702643375028944,0.49348872900009155
p232_019,dev,Low-quality input with a large official RNNoise improvement.,r3_official_rnnoise,9.98100379265814,-0.003872631924807468,0.5212863683700562
p232_019,dev,Low-quality input with a large official RNNoise improvement.,r4_conservative,5.568687770668879,0.001456778495169897,0.4948912560939789
p232_019,dev,Low-quality input with a large official RNNoise improvement.,r4_aggressive,8.638758088324927,-0.0038880987608033157,0.487516850233078
p257_001,holdout,Untouched high-quality holdout failure for official RNNoise.,clean_reference,125.82963607524917,0.023276902347128425,0.484979510307312
p257_001,holdout,Untouched high-quality holdout failure for official RNNoise.,noisy,0.0,0.0,0.46754536032676697
p257_001,holdout,Untouched high-quality holdout failure for official RNNoise.,r1_classical_omlsa,-0.5440270712015831,-0.007956393171358545,0.49057668447494507
p257_001,holdout,Untouched high-quality holdout failure for official RNNoise.,r3_official_rnnoise,-5.6043711975803685,-0.27442146421318825,0.4675382971763611
p257_001,holdout,Untouched high-quality holdout failure for official RNNoise.,r4_conservative,-0.32229059381632297,-0.007832540968783608,0.46754181385040283
p257_001,holdout,Untouched high-quality holdout failure for official RNNoise.,r4_aggressive,-3.758240733459214,-0.09862261904350467,0.46753931045532227
p257_199,holdout,Untouched very-low-quality holdout success case.,clean_reference,146.1516349285324,0.4399903898309946,0.5014798045158386
p257_199,holdout,Untouched very-low-quality holdout success case.,noisy,0.0,0.0,0.5443122386932373
p257_199,holdout,Untouched very-low-quality holdout success case.,r1_classical_omlsa,3.999739261700652,-0.01150975821477318,0.4927543103694916
p257_199,holdout,Untouched very-low-quality holdout success case.,r3_official_rnnoise,19.591176767795545,0.037452543984814235,0.49762818217277527
p257_199,holdout,Untouched very-low-quality holdout success case.,r4_conservative,5.83384914810193,0.009074126540983607,0.4821431040763855
p257_199,holdout,Untouched very-low-quality holdout success case.,r4_aggressive,15.401082992968623,0.08425461308635596,0.46400877833366394
p257_226,holdout,Untouched mid-quality holdout failure case.,clean_reference,133.54177900108812,0.027660874960963033,0.4978739619255066
p257_226,holdout,Untouched mid-quality holdout failure case.,noisy,0.0,0.0,0.47537314891815186
p257_226,holdout,Untouched mid-quality holdout failure case.,r1_classical_omlsa,1.649104878024536,-0.0014640636773076698,0.4745984971523285
p257_226,holdout,Untouched mid-quality holdout failure case.,r3_official_rnnoise,-5.803778454302538,-0.16634001810648646,0.23924073576927185
p257_226,holdout,Untouched mid-quality holdout failure case.,r4_conservative,0.6720202423381405,-0.007938838873141174,0.26278308033943176
p257_226,holdout,Untouched mid-quality holdout failure case.,r4_aggressive,-1.3526181553710659,-0.03357006649109029,0.23239180445671082
